MUN_NAME,scen,seas,tslice,var,value
SATHUPALLY,RCP85,MAM,2061-2090,tmax,3.4756458
SATHUPALLY,RCP85,MAM,2061-2090,tmin,3.6702442
RAMAGUNDEM,RCP45,Annual,2021-2050,precip,15.664263
RAMAGUNDEM,RCP45,Annual,2021-2050,tmean,1.4367093
RAMAGUNDEM,RCP45,Annual,2021-2050,tmax,1.5887824
RAMAGUNDEM,RCP45,Annual,2021-2050,tmin,1.4439636
RAMAGUNDEM,RCP45,Annual,2061-2090,precip,31.64764
RAMAGUNDEM,RCP45,Annual,2061-2090,tmean,2.2059157
RAMAGUNDEM,RCP45,Annual,2061-2090,tmax,1.9065012
RAMAGUNDEM,RCP45,Annual,2061-2090,tmin,2.2325227
RAMAGUNDEM,RCP45,JJAS,2021-2050,precip,11.430431
RAMAGUNDEM,RCP45,JJAS,2021-2050,tmean,1.2615561
RAMAGUNDEM,RCP45,JJAS,2021-2050,tmax,1.5255656
RAMAGUNDEM,RCP45,JJAS,2021-2050,tmin,1.1526036
RAMAGUNDEM,RCP45,JJAS,2061-2090,precip,21.119696
RAMAGUNDEM,RCP45,JJAS,2061-2090,tmean,2.0009136
RAMAGUNDEM,RCP45,JJAS,2061-2090,tmax,1.9186225
RAMAGUNDEM,RCP45,JJAS,2061-2090,tmin,1.7699027
RAMAGUNDEM,RCP45,ON,2021-2050,precip,28.50234
RAMAGUNDEM,RCP45,ON,2021-2050,tmean,1.2232513
RAMAGUNDEM,RCP45,ON,2021-2050,tmax,1.4652777
RAMAGUNDEM,RCP45,ON,2021-2050,tmin,1.3197298
RAMAGUNDEM,RCP45,ON,2061-2090,precip,55.192024
RAMAGUNDEM,RCP45,ON,2061-2090,tmean,1.9709072
RAMAGUNDEM,RCP45,ON,2061-2090,tmax,1.5219193
RAMAGUNDEM,RCP45,ON,2061-2090,tmin,2.1269722
RAMAGUNDEM,RCP45,DJF,2021-2050,precip,-2.8254926
RAMAGUNDEM,RCP45,DJF,2021-2050,tmean,1.5673147
RAMAGUNDEM,RCP45,DJF,2021-2050,tmax,1.9188582
RAMAGUNDEM,RCP45,DJF,2021-2050,tmin,1.8050169
RAMAGUNDEM,RCP45,DJF,2061-2090,precip,12.098425
RAMAGUNDEM,RCP45,DJF,2061-2090,tmean,2.3751163
RAMAGUNDEM,RCP45,DJF,2061-2090,tmax,2.168441
