,metric,region,scen,seas,tslice,value
261,CDD,KORUTLA,RCP45,Annual,2061-2090,-26.0
262,CDD,KORUTLA,RCP45,JJAS,2021-2050,0.0
263,CDD,KORUTLA,RCP45,JJAS,2061-2090,0.0
264,CDD,KORUTLA,RCP45,ON,2021-2050,-9.0
265,CDD,KORUTLA,RCP45,ON,2061-2090,-20.0
266,CDD,KORUTLA,RCP45,DJF,2021-2050,-5.0
267,CDD,KORUTLA,RCP45,DJF,2061-2090,2.0
268,CDD,KORUTLA,RCP45,MAM,2021-2050,-16.0
269,CDD,KORUTLA,RCP45,MAM,2061-2090,-11.0
270,CDD,KORUTLA,RCP85,Annual,2021-2050,-47.0
271,CDD,KORUTLA,RCP85,Annual,2061-2090,-48.0
272,CDD,KORUTLA,RCP85,JJAS,2021-2050,0.0
273,CDD,KORUTLA,RCP85,JJAS,2061-2090,0.0
274,CDD,KORUTLA,RCP85,ON,2021-2050,-18.0
275,CDD,KORUTLA,RCP85,ON,2061-2090,-22.0
276,CDD,KORUTLA,RCP85,DJF,2021-2050,-2.0
277,CDD,KORUTLA,RCP85,DJF,2061-2090,-6.0
278,CDD,KORUTLA,RCP85,MAM,2021-2050,-24.0
279,CDD,KORUTLA,RCP85,MAM,2061-2090,-19.0
280,CDD,KHAMMAM,RCP45,Annual,2021-2050,-21.5
281,CDD,KHAMMAM,RCP45,Annual,2061-2090,-10.5
282,CDD,KHAMMAM,RCP45,JJAS,2021-2050,0.0
283,CDD,KHAMMAM,RCP45,JJAS,2061-2090,0.0
284,CDD,KHAMMAM,RCP45,ON,2021-2050,-5.0
285,CDD,KHAMMAM,RCP45,ON,2061-2090,-12.0
286,CDD,KHAMMAM,RCP45,DJF,2021-2050,-2.0
287,CDD,KHAMMAM,RCP45,DJF,2061-2090,8.0
288,CDD,KHAMMAM,RCP45,MAM,2021-2050,-10.5
289,CDD,KHAMMAM,RCP45,MAM,2061-2090,-13.5
290,CDD,KHAMMAM,RCP85,Annual,2021-2050,-27.5
291,CDD,KHAMMAM,RCP85,Annual,2061-2090,-36.5
292,CDD,KHAMMAM,RCP85,JJAS,2021-2050,0.0
293,CDD,KHAMMAM,RCP85,JJAS,2061-2090,0.0
294,CDD,KHAMMAM,RCP85,ON,2021-2050,-14.0
295,CDD,KHAMMAM,RCP85,ON,2061-2090,-17.5
296,CDD,KHAMMAM,RCP85,DJF,2021-2050,0.0
297,CDD,KHAMMAM,RCP85,DJF,2061-2090,-9.5
298,CDD,KHAMMAM,RCP85,MAM,2021-2050,-8.5
299,CDD,KHAMMAM,RCP85,MAM,2061-2090,-12.0
300,CDD,KARIMNAGAR,RCP45,Annual,2021-2050,-30.0
301,CDD,KARIMNAGAR,RCP45,Annual,2061-2090,-31.5
302,CDD,KARIMNAGAR,RCP45,JJAS,2021-2050,0.0
