,metric,region,scen,tslice,value
259,hotdays,SADASIVAPET,RCP85,2061-2090,62.683334
260,hotdays,NIZAMABAD,RCP45,2021-2050,20.883333
261,hotdays,NIZAMABAD,RCP45,2061-2090,51.816666
262,hotdays,NIZAMABAD,RCP85,2021-2050,25.183334
263,hotdays,NIZAMABAD,RCP85,2061-2090,73.08333
264,hotdays,NARAYANPET,RCP45,2021-2050,3.6333334
265,hotdays,NARAYANPET,RCP45,2061-2090,37.166668
266,hotdays,NARAYANPET,RCP85,2021-2050,4.6
267,hotdays,NARAYANPET,RCP85,2061-2090,61.1
268,hotdays,NALGONDA,RCP45,2021-2050,9.916667
269,hotdays,NALGONDA,RCP45,2061-2090,43.8
270,hotdays,NALGONDA,RCP85,2021-2050,10.833334
271,hotdays,NALGONDA,RCP85,2061-2090,67.25
272,hotdays,MIRYALAGUDA,RCP45,2021-2050,17.066666
273,hotdays,MIRYALAGUDA,RCP45,2061-2090,46.233334
274,hotdays,MIRYALAGUDA,RCP85,2021-2050,19.349998
275,hotdays,MIRYALAGUDA,RCP85,2061-2090,68.51666
276,hotdays,MEDAK,RCP45,2021-2050,4.9
277,hotdays,MEDAK,RCP45,2061-2090,46.233334
278,hotdays,MEDAK,RCP85,2021-2050,6.0666666
279,hotdays,MEDAK,RCP85,2061-2090,69.53333
280,hotdays,MAHABOOBNAGAR,RCP45,2021-2050,0.53333336
281,hotdays,MAHABOOBNAGAR,RCP45,2061-2090,28.833334
282,hotdays,MAHABOOBNAGAR,RCP85,2021-2050,0.46666667
283,hotdays,MAHABOOBNAGAR,RCP85,2061-2090,54.566666
284,hotdays,KAMAREDDY,RCP45,2021-2050,11.1
285,hotdays,KAMAREDDY,RCP45,2061-2090,52.6
286,hotdays,KAMAREDDY,RCP85,2021-2050,13.433333
287,hotdays,KAMAREDDY,RCP85,2061-2090,74.2
288,hotdays,GADWAL,RCP45,2021-2050,5.9333334
289,hotdays,GADWAL,RCP45,2061-2090,36.0
290,hotdays,GADWAL,RCP85,2021-2050,6.3
291,hotdays,GADWAL,RCP85,2061-2090,60.7
292,hotdays,BODHAN,RCP45,2021-2050,21.033333
293,hotdays,BODHAN,RCP45,2061-2090,50.866665
294,hotdays,BODHAN,RCP85,2021-2050,25.133333
295,hotdays,BODHAN,RCP85,2061-2090,72.1
